loc_index,lon,lat,mask,FIPS,distance_miles
6,-97.327,33.798,1.0,48097,15.01794999841083
7,-97.196,33.906,0.21073732,48097,18.602318864201173
0,-97.696,31.193,1.0,48099,13.880464669752845
1,-97.95,31.3,0.06340724,48099,12.637004253417079
2,-97.823,31.301,1.0,48099,13.634718583992065
3,-97.697,31.302,1.0,48099,17.9917276658872
4,-97.951,31.408,0.81029093,48099,20.01668650704902
5,-97.571,31.411,0.18546999,48099,28.568522154437442
6,-98.079,31.515,0.35678044,48099,28.9621787453276
7,-97.826,31.517,0.8883179,48099,27.896083645259402
1,-100.337,33.857,1.0,48101,11.014905172135329
2,-100.206,33.861,1.0,48101,11.97289907086171
3,-100.075,33.865,1.0,48101,16.696851669565643
4,-100.341,33.966,1.0,48101,3.9610137510708747
5,-100.079,33.973,1.0,48101,13.217334614943166
6,-100.477,34.071,1.0,48101,10.675899654490332
7,-100.346,34.075,1.0,48101,4.827858164888182
9,-100.482,34.179,1.0,48101,15.268202294917927
1,-102.645,31.375,1.0,48103,17.456605174403197
2,-102.518,31.382,1.0,48103,9.934483276770523
5,-102.526,31.49,1.0,48103,12.388858493046074
7,-102.66,31.592,1.0,48103,22.902857415492186
3,-102.392,31.388,0.86334914,48103,2.4783686468395496
0,-102.511,31.274,0.5412239,48103,12.497090953399216
8,-102.533,31.598,0.07876599,48103,17.836856086997276
6,-102.399,31.496,0.06536269,48103,7.733813965438017
0,-101.57,30.343,1.0,48105,33.18613670228334
1,-101.32,30.353,1.0,48105,25.342058281248818
2,-101.195,30.358,1.0,48105,24.077748068358762
4,-101.451,30.456,1.0,48105,22.652633609991373
7,-101.075,30.471,1.0,48105,18.059529298531977
8,-101.457,30.564,1.0,48105,17.920165531650618
9,-101.206,30.574,1.0,48105,9.189561455850761
11,-101.463,30.672,1.0,48105,15.493580342418824
0,-101.098,33.398,1.0,48107,18.606347605308855
1,-101.364,33.496,1.0,48107,12.384486704648225
2,-101.234,33.501,1.0,48107,9.671716453882437
6,-101.109,33.614,1.0,48107,7.654963559772215
7,-101.376,33.713,1.0,48107,9.376838865279348
8,-101.513,33.817,1.0,48107,19.94931718274417
4,-101.5,33.6,0.98959583,48107,15.389512665540112
3,-101.104,33.506,0.5714501,48107,12.101441527965854
0,-104.866,30.696,1.0,48109,23.821819591554668
1,-104.877,30.804,1.0,48109,16.504181984157718
2,-104.887,30.911,1.0,48109,9.47083730934305
3,-104.762,30.92,1.0,48109,9.35178669781068
4,-104.636,30.929,1.0,48109,14.052086646113645
5,-104.51,30.938,1.0,48109,20.495295101947153
6,-104.898,31.019,1.0,48109,4.074994779646999
7,-104.772,31.028,1.0,48109,3.7863864618569685
0,-102.088,32.596,1.0,48115,12.264935373415513
3,-102.095,32.705,1.0,48115,8.436258572267976
6,-101.973,32.819,1.0,48115,6.007238934962381
7,-101.715,32.83,1.0,48115,15.431349414330771
9,-101.979,32.927,0.9566783,48115,13.426436676290601
5,-101.837,32.716,0.85960245,48115,6.924333633180914
2,-101.702,32.613,0.70686036,48115,16.870194564183794
1,-101.959,32.602,0.49744463,48115,9.052280555195434
0,-102.231,34.765,1.0,48117,10.400866582953746
2,-102.9,34.842,1.0,48117,28.44574351548218
3,-102.768,34.848,1.0,48117,20.984182813500848
