loc_index,lon,lat,mask,FIPS,distance_miles
1,-72.223,42.487,0.3439424,25027,25.972072735698312
2,-72.081,42.459,0.22944404,25027,19.09677050644455
3,-72.185,42.592,0.22162814,25027,29.39765306467437
4,-72.146,42.696,0.24941021,25027,34.072507517409555
0,-71.402,43.446,0.2717314,33001,9.521440707147697
1,-71.258,43.417,0.26785746,33001,15.392923618572262
2,-71.649,43.608,0.34994525,33001,8.947962620629946
3,-71.218,43.521,0.20881282,33001,13.507274101273472
14,-71.263,44.204,0.8103825,33003,13.220313321145458
15,-71.117,44.175,0.80720276,33003,9.221188965540815
11,-71.303,44.1,0.77140635,33003,9.855644446522614
5,-71.385,43.892,0.7085257,33003,16.673596658839205
8,-71.344,43.996,0.7080779,33003,11.478800535564975
12,-71.158,44.071,0.57415694,33003,2.7000577298957857
9,-71.199,43.967,0.53333634,33003,6.405366588562018
6,-71.24,43.863,0.4722483,33003,13.648573993956317
10,-72.173,43.039,0.4075032,33005,8.918423642777768
1,-72.288,42.725,0.3654553,33005,15.501445577404173
9,-72.316,43.067,0.35976598,33005,8.159298944028178
4,-72.25,42.829,0.35161677,33005,8.686930103113433
0,-72.431,42.753,0.34226155,33005,15.106220205597657
3,-72.393,42.858,0.3244134,33005,7.885105675158681
5,-72.107,42.801,0.28745934,33005,14.168547080680867
6,-72.354,42.962,0.2802598,33005,2.882488926474459
6,-71.076,44.279,0.8890944,33007,16.99938517801395
1,-71.408,44.234,0.8543275,33007,18.940266476619506
19,-71.349,44.783,0.8164664,33007,20.91220265846955
31,-71.332,45.228,0.8121004,33007,51.2970658808597
8,-71.326,44.442,0.8104068,33007,4.504928295999209
10,-71.035,44.383,0.8070038,33007,13.238622594190536
4,-71.367,44.338,0.78180885,33007,11.567032039706863
5,-71.222,44.308,0.76814425,33007,12.49414072628783
27,-71.448,44.129,0.9264214,33009,52.70768369683181
26,-71.594,44.158,0.8877155,33009,48.83669000645791
22,-71.489,44.025,0.8862208,33009,46.71488402674346
18,-71.529,43.921,0.8029114,33009,41.243833317589576
16,-71.819,43.979,0.77753174,33009,32.15808424496747
21,-71.634,44.054,0.7530494,33009,42.338773410738874
20,-71.779,44.083,0.74309707,33009,38.93972474954259
11,-72.003,43.903,0.6016304,33009,22.319089764101737
0,-71.822,42.744,0.21973136,33011,16.843280723909583
1,-71.926,42.877,0.24013664,33011,23.804611738229603
2,-71.783,42.848,0.21548,33011,16.337732851637508
3,-72.03,43.01,0.3183846,33011,32.75765171294359
4,-71.887,42.982,0.26339117,33011,25.7445993217785
5,-71.744,42.953,0.2102611,33011,19.058201648815878
6,-71.991,43.115,0.34690696,33011,35.79312890927803
7,-71.847,43.086,0.23731485,33011,29.445733732198942
8,-71.873,43.428,0.40962133,33013,20.868660214784857
4,-71.912,43.324,0.3937203,33013,18.915024230698187
13,-71.833,43.533,0.3885884,33013,25.014907519647117
0,-71.951,43.219,0.34698316,33013,19.779679998078482
9,-71.729,43.399,0.34037808,33013,14.432920518218083
10,-71.585,43.371,0.3135487,33013,9.784044792679135
14,-71.689,43.504,0.30722827,33013,19.975636788075185
5,-71.769,43.295,0.28710362,33013,11.46903785519043
0,-71.236,43.074,0.20008528,33015,22.974445150928346
1,-71.196,43.179,0.23984481,33015,22.51240901558412
0,-71.155,43.283,0.22347708,33017,15.12546829042727
1,-71.115,43.387,0.30156446,33017,17.958753354094288
2,-71.074,43.491,0.37729093,33017,22.949590064591145
5,-72.095,43.248,0.5603883,33019,15.17732356445639
9,-72.161,43.485,0.411356,33019,11.479394466964788
8,-72.305,43.513,0.35961115,33019,9.387985653426993
2,-72.134,43.143,0.34268087,33019,19.2382320920441
10,-72.017,43.457,0.3400353,33019,16.97005333316144
6,-72.343,43.409,0.31112343,33019,2.0944255420646387
7,-72.2,43.381,0.30257207,33019,6.889790183617802
1,-72.277,43.171,0.2962862,33019,14.672295319995886
0,-71.787,41.611,0.27112985,44003,19.444293427316975
0,-71.647,41.582,0.20766565,44009,9.834187482095954
7,-72.913,43.966,0.6841904,50001,21.96578790655154
12,-72.982,44.203,0.50401324,50001,13.831026963392128
